iter	RMSEWithUncertainty
358	0.2541265982
359	0.2535410623
360	0.2529503534
361	0.2524566659
362	0.2518728098
363	0.2511109978
364	0.2504554508
365	0.2497379203
366	0.2494992993
367	0.2490624418
368	0.2485242456
369	0.2481556855
370	0.2475457589
371	0.247035478
372	0.246522331
373	0.2458370533
374	0.245193168
375	0.2445826298
376	0.2442168474
377	0.2434598079
378	0.2429887357
379	0.2418820739
380	0.2413719569
381	0.2408829435
382	0.2405036948
383	0.2400067427
384	0.2397208979
385	0.2386789393
386	0.2380592414
387	0.2373416191
388	0.2363947612
389	0.2356529939
390	0.2348956162
391	0.2345330709
392	0.2340846996
393	0.2334460516
394	0.2326063877
395	0.2321491786
396	0.2312735162
397	0.2303775134
398	0.2299690672
399	0.229558685
400	0.2289741214
401	0.2283560624
402	0.2273525517
403	0.2269955155
404	0.2257701454
405	0.2250770336
406	0.224821975
407	0.2239420388
408	0.2233074867
409	0.222603709
410	0.2219310997
411	0.2215032021
412	0.2210456617
413	0.2206486449
414	0.2203858197
415	0.2196552858
416	0.2192550881
417	0.2186991284
418	0.2183467491
419	0.2177604936
420	0.2173677573
421	0.2171386943
422	0.2164580505
423	0.216002907
424	0.2154515106
425	0.214905658
426	0.2144442542
427	0.2136888267
428	0.2128708317
429	0.2124269933
430	0.2117835859
431	0.2113245372
432	0.2110389324
433	0.2105713803
434	0.2101000392
435	0.2097347776
436	0.2090928278
437	0.2086465486
438	0.2082910115
439	0.2078070427
440	0.207187286
441	0.2066566778
442	0.2059825549
443	0.2054056458
444	0.2049790094
445	0.2041941976
446	0.2034770186
447	0.2032393796
448	0.2027191132
449	0.2020294264
450	0.2016399448
451	0.2005776409
452	0.1998776058
453	0.199596777
454	0.1990914767
455	0.198497087
456	0.1980229876
457	0.197364167
458	0.1964835286
459	0.1960466377
460	0.19555124
461	0.1950992584
462	0.1947385256
463	0.1941266046
464	0.1933456451
465	0.1929279007
466	0.1926691614
467	0.1922991416
468	0.1918618135
469	0.1913818972
470	0.1909651905
471	0.1899336359
472	0.1895829079
473	0.1890517951
474	0.188727766
475	0.1881432813
476	0.1877392561
477	0.18714674
478	0.186358012
479	0.1859695183
480	0.1855109425
481	0.1851005648
482	0.1848591492
483	0.184376697
484	0.1840033127
485	0.1834813113
486	0.1831403746
487	0.1828921928
488	0.1825795561
489	0.1822018469
490	0.1818746469
491	0.1814660007
492	0.1809919998
493	0.179941586
494	0.179724569
495	0.1794292752
496	0.1789108452
497	0.1785934781
498	0.1781549551
499	0.1777584907
