iter	Logloss
0	0.5920442726
1	0.5240813849
2	0.4810279207
3	0.4419447711
4	0.410733358
5	0.3878178271
6	0.3700379479
7	0.3596323453
8	0.3510153812
9	0.3435179279
10	0.3365521732
11	0.3313963142
12	0.3277116043
13	0.3237131679
14	0.3211468188
15	0.3188410328
16	0.3158105179
17	0.3142165986
18	0.3125917845
19	0.3109305484
20	0.3094221732
21	0.3084630642
22	0.3074109679
23	0.3057659138
24	0.3044306598
25	0.3035921093
26	0.3022723827
27	0.3012480849
28	0.3003642176
29	0.2988238605
30	0.2981871651
31	0.2975386602
32	0.2970130793
33	0.296346145
34	0.2956150777
35	0.2950295012
36	0.2938484529
37	0.2922331559
38	0.2917759566
39	0.2912450888
40	0.290837841
41	0.2904025907
42	0.2900792403
43	0.2897485546
44	0.2893816329
45	0.289091181
46	0.2887432526
47	0.2884091944
48	0.2881663216
49	0.2879237187
50	0.2875881229
51	0.2868547971
52	0.2866810503
53	0.2865990142
54	0.2859103298
55	0.2857643117
56	0.2855625095
57	0.285317089
58	0.2845276054
59	0.2842069705
60	0.2839193156
61	0.2837822423
62	0.2835155919
63	0.2833344742
64	0.2832427047
65	0.2830873542
66	0.282862409
67	0.2827000211
68	0.2824315399
69	0.2822916694
70	0.2821612577
71	0.2820543791
72	0.2818971139
73	0.2817260249
74	0.2816775321
75	0.2812636056
76	0.2810966716
77	0.280984038
78	0.2808633371
79	0.2806343241
80	0.2804612736
81	0.2802636867
82	0.280133215
83	0.2800412279
84	0.2800002551
85	0.2798019337
86	0.2796963622
87	0.2790687917
88	0.2788289507
89	0.2787733677
90	0.27860014
91	0.2784937689
92	0.2782735023
93	0.2781474647
94	0.2779788101
95	0.2777410874
96	0.2775356325
97	0.2774303701
98	0.2771402046
99	0.2770009226
100	0.2768834443
101	0.276791942
102	0.2764193442
103	0.275957019
104	0.2758875649
105	0.2756577784
106	0.2755108594
107	0.2753095521
108	0.2751990442
109	0.2751076884
110	0.275004626
111	0.2748726508
112	0.2746173698
113	0.2744510928
114	0.2744271714
115	0.2741555073
116	0.2738763139
117	0.2730057657
118	0.2729042881
119	0.2727382244
120	0.2726052417
121	0.2722683592
122	0.2719916202
123	0.2719258334
124	0.2718511283
125	0.2717188839
126	0.2715597424
127	0.2710432437
128	0.27060553
129	0.2701735418
130	0.2700061256
131	0.2698083728
132	0.2697025699
133	0.2695647236
134	0.269495584
135	0.2693559826
136	0.2691846032
137	0.2687740203
138	0.268672599
139	0.2685181461
140	0.2683108648
141	0.2681642868
142	0.2680456291
143	0.2678847268
144	0.2678281914
145	0.2676438916
146	0.2675752116
147	0.2671364207
148	0.2670818221
149	0.2669501848
150	0.2668919846
151	0.2667804945
152	0.2667144555
153	0.2666293897
154	0.2664680391
155	0.2663874253
156	0.2662668093
157	0.2662175796
158	0.2661356904
159	0.2659828975
160	0.2658054051
161	0.2656979982
162	0.2656301306
163	0.2655729844
164	0.2655050993
165	0.2654244071
166	0.265333756
167	0.2651695865
168	0.2650274044
169	0.2649771549
170	0.2648832678
171	0.2647486828
172	0.2646380836
173	0.2643505472
174	0.2642454312
175	0.2641234415
176	0.2640413392
177	0.2639085515
178	0.2638049884
179	0.2637129344
180	0.2636553668
181	0.2636167636
182	0.2634934451
183	0.2634495584
184	0.2633411594
185	0.2632495745
186	0.2631438644
187	0.2630442914
188	0.2628739688
189	0.262800774
190	0.2627902085
191	0.2627421053
192	0.2626560296
193	0.2625747325
194	0.2624879489
195	0.2623324302
196	0.2622540865
197	0.2621706905
198	0.2621092173
199	0.2619817409
200	0.2619566666
201	0.2618960027
202	0.2618557396
203	0.2618328753
204	0.2617287164
205	0.2617051911
206	0.261613743
207	0.2615142141
208	0.2614112791
209	0.2613741893
210	0.2612423226
211	0.2611791249
212	0.2611423395
213	0.2610047474
214	0.2608395068
215	0.2607457249
216	0.2607344421
217	0.2607097256
218	0.2605603857
219	0.260495627
220	0.2603765016
221	0.2603295126
222	0.2602959719
223	0.2601925213
224	0.2601549222
225	0.2600757098
226	0.2599680879
227	0.2598202435
228	0.259786111
229	0.2596064656
230	0.2595496739
231	0.2595066148
232	0.259403198
233	0.2593155748
234	0.2592280825
235	0.2591808572
236	0.2591085419
237	0.2590979945
238	0.2590325029
239	0.2589435011
240	0.2588854504
241	0.2588608504
242	0.2588229868
243	0.2587674978
244	0.2587160024
245	0.2586774197
246	0.2585591079
247	0.2584757321
248	0.2583920009
249	0.2583743295
250	0.2583305706
251	0.25819734
252	0.2581650403
253	0.2580676688
254	0.2580183572
255	0.2578857087
256	0.2578210046
257	0.2577528351
258	0.2576828599
259	0.2576203553
260	0.2575528909
261	0.2575077448
262	0.2574880239
263	0.2574374828
264	0.2574189078
265	0.2573551284
266	0.2573407026
267	0.2573314659
268	0.2572848197
269	0.2572753744
270	0.2572145313
271	0.2571312519
272	0.2570446453
273	0.2570284367
274	0.2569472334
275	0.2568960686
276	0.2568076569
277	0.2567869832
278	0.2566586063
279	0.256582451
280	0.2564737963
281	0.2564609874
282	0.256438276
283	0.2563322449
284	0.256195859
285	0.2560805162
286	0.2559990953
287	0.2559467918
288	0.25591447
289	0.2558640316
290	0.2558159792
291	0.2557554029
292	0.2556562915
293	0.2555429785
294	0.2555213253
295	0.2554806265
296	0.2554035173
297	0.2553428316
298	0.2550864576
299	0.25507005
300	0.2549633977
301	0.2548967696
302	0.2548197045
303	0.2547923361
304	0.2547419598
305	0.2546993152
306	0.2546577628
307	0.254647396
308	0.2545526716
309	0.2545291824
310	0.2545148195
311	0.2544803298
312	0.2543652917
313	0.2543303168
314	0.2542940044
315	0.2542308707
316	0.2541334371
317	0.2541213523
318	0.2541027311
319	0.2540772031
320	0.2540659775
321	0.2540418451
322	0.254030048
323	0.2539745779
324	0.253936563
325	0.2538693116
326	0.2538401707
327	0.2537679664
328	0.2536966961
329	0.2536611385
330	0.2536069032
331	0.2535899265
332	0.2535699928
333	0.2535683154
334	0.2534624352
335	0.2534128023
336	0.2533620592
337	0.2533044505
338	0.2532366924
339	0.2531929954
340	0.2531107468
341	0.2530458762
342	0.2529426555
343	0.2528913671
344	0.2528438314
345	0.2527903394
346	0.2527358616
347	0.2526961962
348	0.2526752316
349	0.2526457792
350	0.2526351783
351	0.2525591041
352	0.2524401427
353	0.2523630896
354	0.252342104
355	0.2522840395
356	0.2522633407
357	0.2522479737
358	0.2522188282
359	0.2521790583
360	0.2520983083
361	0.2520861701
362	0.252007892
363	0.2519979251
364	0.2519247144
365	0.2518331789
366	0.2517666902
367	0.2517212654
368	0.2516949931
369	0.2516660301
370	0.2516540602
371	0.2516415077
372	0.2515730604
373	0.2515428415
374	0.2515181906
375	0.2514881032
376	0.2514316655
377	0.2513979093
378	0.2513286053
379	0.2511799374
380	0.2511210042
381	0.2510468013
382	0.2510150565
383	0.2509663663
384	0.2509420296
385	0.250882759
386	0.2508322757
387	0.2508234642
388	0.2507984326
389	0.2507679034
390	0.2507626079
391	0.2507522621
392	0.2507053354
393	0.2506981305
394	0.2506856318
395	0.2506619288
396	0.2506547674
397	0.2506286949
398	0.250617686
399	0.2505344796
